"","CBSA.Code","YEAR","AGE_CATEGORY","fatality_count","rate"
"325",10580,2016,4,2,0.05716082197262
"326",10580,2016,5,1,0.0285795941697628
"327",10580,2016,6,57,0.325099383451871
"328",10580,2017,4,4,0.0330417399780272
"329",10580,2017,5,4,0.0495785820525533
"330",10580,2017,6,48,0.237796812531892
"331",10580,2018,4,2,0.0219934899269816
"332",10580,2018,5,2,0.0219937317864409
"333",10580,2018,6,64,0.281361967775262
"334",10580,2019,5,2,0.0396275014860313
"335",10580,2019,6,45,0.178085227632495
"336",10580,2020,1,1,0.0179723585126076
"337",10580,2020,4,1,0.0179720355127422
"338",10580,2020,6,59,0.211791396243754
"339",10580,2021,4,2,0.0164036612972015
"340",10580,2021,6,49,0.160689983111155
"341",10580,2022,3,2,0.0151059683681022
"342",10580,2022,5,3,0.0151012539074494
"343",10580,2022,6,63,0.190232325001359
"344",10580,2010,3,4,1.22249388753056
"345",10580,2010,5,5,0.507717303005686
"346",10580,2011,2,1,0.114757860913473
"347",10580,2011,4,1,0.114744693057946
"348",10580,2013,5,2,0.051513200257566
"349",10580,2020,5,2,0.0179433349482335
"350",10580,2021,5,1,0.0163947864579064
"351",10580,2022,4,2,0.0150939978717463
"352",10580,2012,2,1,0.0711288142826659
"353",10580,2012,3,3,0.106659082020834
"354",10580,2012,4,5,0.118503069229493
"355",10580,2012,5,4,0.142212109361112
"356",10580,2014,5,3,0.0613070666612172
"357",10580,2017,1,1,0.0247586036147561
"358",10580,2019,4,1,0.019780437147661
"359",10580,2020,7,1,0.0179426910448029
"360",10580,2015,3,1,0.033655302392892
"361",10580,2020,3,1,0.0179423691104173
"362",10580,2018,3,2,0.0439444542098787
"363",10620,2010,4,2,0.571755288736421
"364",10620,2010,6,8,2.28636753358102
"365",10620,2011,1,1,0.111844312716698
"366",10620,2011,4,2,0.223663609930664
"367",10620,2011,6,8,0.894554400089456
"368",10620,2012,6,5,0.350311777481959
"369",10620,2013,6,10,0.51002193094303
"370",10620,2014,6,8,0.324556777151203
"371",10620,2015,5,1,0.0334347520813133
"372",10620,2015,6,10,0.334336342360415
"373",10620,2016,1,1,0.0283334277780926
"374",10620,2016,4,1,0.0283326250177079
"375",10620,2016,6,11,0.311650045330916
"376",10620,2017,6,12,0.295544664187375
"377",10620,2018,3,1,0.0218856692637661
"378",10620,2018,4,1,0.0218851902917296
"379",10620,2018,6,4,0.0875388453626297
