"","year","AGE_CATEGORY","CBSA.Code","CBSA.Title","Metropolitan.Micropolitan.Statistical.Area","rate_cbsa_age","rate_cbsa"
"119",2017,2,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00183257978670604,0.0244775592735256
"120",2017,3,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00281494171059986,0.0244775592735256
"121",2017,4,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00549773264342897,0.0244775592735256
"122",2017,5,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.0122171761890901,0.0244775592735256
"123",2017,3,23420,"Fresno, CA","Metropolitan Statistical Area",0.00563266041816871,0.038787378672227
"124",2017,4,23420,"Fresno, CA","Metropolitan Statistical Area",0.00563262869148403,0.038787378672227
"125",2017,5,46380,"Ukiah, CA","Micropolitan Statistical Area",0.0976371802382347,0.0976371802382347
"126",2017,1,32900,"Merced, CA","Metropolitan Statistical Area",0.0111182762224545,0.10006198283937
"127",2017,3,32900,"Merced, CA","Metropolitan Statistical Area",0.0222360579916392,0.10006198283937
"128",2017,4,32900,"Merced, CA","Metropolitan Statistical Area",0.0222358107732503,0.10006198283937
"129",2017,5,32900,"Merced, CA","Metropolitan Statistical Area",0.0444711271207169,0.10006198283937
"130",2017,4,41500,"Salinas, CA","Metropolitan Statistical Area",0.0156359940583223,0.0234538994062254
"131",2017,5,41500,"Salinas, CA","Metropolitan Statistical Area",0.00781793590856142,0.0234538994062254
"132",2017,5,34900,"Napa, CA","Metropolitan Statistical Area",0.0300742834801961,0.0300742834801961
"133",2017,1,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00213801105718233,0.0244775592735256
"134",2017,2,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00183257978670604,0.0244775592735256
"135",2017,4,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.00549773264342897,0.0244775592735256
"136",2017,5,31080,"Los Angeles-Long Beach-Anaheim, CA","Metropolitan Statistical Area",0.0122171761890901,0.0244775592735256
"137",2017,4,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0108342948770037,0.0479815314723406
"138",2017,5,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0168219582628524,0.0479815314723406
"139",2017,1,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.00834523161052349,0.0523472030661805
"140",2017,2,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.00455193760810852,0.0523472030661805
"141",2017,3,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0068278960521105,0.0523472030661805
"142",2017,4,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0121384634526039,0.0523472030661805
"143",2017,5,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0204836259963008,0.0523472030661805
"144",2017,1,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.00653136579567275,0.0479815314723406
"145",2017,2,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.00251013466872498,0.0479815314723406
"146",2017,3,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.010885514863082,0.0479815314723406
"147",2017,4,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0108342948770037,0.0479815314723406
"148",2017,5,40900,"Sacramento-Roseville-Folsom, CA","Metropolitan Statistical Area",0.0168219582628524,0.0479815314723406
"149",2017,1,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.00834523161052349,0.0523472030661805
"150",2017,2,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.00455193760810852,0.0523472030661805
"151",2017,3,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0068278960521105,0.0523472030661805
"152",2017,4,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0121384634526039,0.0523472030661805
"153",2017,5,40140,"Riverside-San Bernardino-Ontario, CA","Metropolitan Statistical Area",0.0204836259963008,0.0523472030661805
"154",2017,1,41740,"San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",0.00122209946911999,0.018331447231096
"155",2017,2,41740,"San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",0.0012220979755947,0.018331447231096
"156",2017,3,41740,"San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",0.00122209648207307,0.018331447231096
"157",2017,4,41740,"San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",0.00488837995422032,0.018331447231096
"158",2017,5,41740,"San Diego-Chula Vista-Carlsbad, CA","Metropolitan Statistical Area",0.00977674796032596,0.018331447231096
"159",2017,1,44700,"Stockton-Lodi, CA","Metropolitan Statistical Area",0.00895583875907898,0.07612394769837
"160",2017,2,44700,"Stockton-Lodi, CA","Metropolitan Statistical Area",0.00447789932786731,0.07612394769837
"161",2017,4,44700,"Stockton-Lodi, CA","Metropolitan Statistical Area",0.0358228738004935,0.07612394769837
"162",2017,5,44700,"Stockton-Lodi, CA","Metropolitan Statistical Area",0.0268670350435694,0.07612394769837
"163",2017,4,42020,"San Luis Obispo-Paso Robles, CA","Metropolitan Statistical Area",0.0152765047357165,0.0305527761016185
"164",2017,5,42020,"San Luis Obispo-Paso Robles, CA","Metropolitan Statistical Area",0.0152762713676846,0.0305527761016185
"165",2017,5,41860,"San Francisco-Oakland-Fremont, CA","Metropolitan Statistical Area",0.00828019224240618,0.0273627165705011
"166",2017,3,42200,"Santa Maria-Santa Barbara, CA","Metropolitan Statistical Area",0.00827239336884947,0.0496339496215411
"167",2017,4,42200,"Santa Maria-Santa Barbara, CA","Metropolitan Statistical Area",0.00827232493692352,0.0496339496215411
"168",2017,5,42200,"Santa Maria-Santa Barbara, CA","Metropolitan Statistical Area",0.033089026024519,0.0496339496215411
"169",2017,1,41940,"San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",0.00421968525367693,0.0147688360680295
"170",2017,2,41940,"San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",0.00210983817541195,0.0147688360680295
"171",2017,3,41940,"San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",0.00210983372400421,0.0147688360680295
"172",2017,4,41940,"San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",0.00210982927261526,0.0147688360680295
"173",2017,5,41940,"San Jose-Sunnyvale-Santa Clara, CA","Metropolitan Statistical Area",0.00421964964249018,0.0147688360680295
"174",2017,5,42100,"Santa Cruz-Watsonville, CA","Metropolitan Statistical Area",0.0150529865125241,0.0150529865125241
"175",2017,5,39820,"Redding, CA","Metropolitan Statistical Area",0.0921255671480228,0.0921255671480228
"176",2017,4,46700,"Vallejo, CA","Metropolitan Statistical Area",0.0182990987693856,0.0182990987693856
"177",2017,2,42220,"Santa Rosa-Petaluma, CA","Metropolitan Statistical Area",0.00888194123707678,0.0177636458106662
