"","YEAR","cbsa_code","cbsa_name","fatality_count","value","estimate","population","fatality_rate"
"46",2016,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",442,NA,6070500,6070500,7.28111358207726
"47",2016,"38300","Pittsburgh, PA",200,NA,2342299,2342299,8.5386195357638
"48",2016,"41860","San Francisco-Oakland-Fremont, CA",260,NA,4679166,4679166,5.55654576050518
"49",2016,"42660","Seattle-Tacoma-Bellevue, WA",217,NA,3798902,3798902,5.71217683425369
"50",2016,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",338,NA,6133552,6133552,5.51067309774173
"51",2017,"12580","Baltimore-Columbia-Towson, MD",238,NA,2808175,2808175,8.47525528145504
"52",2017,"14460","Boston-Cambridge-Newton, MA-NH",200,NA,4836531,4836531,4.13519524634495
"53",2017,"16980","Chicago-Naperville-Elgin, IL-IN",615,NA,9533895,9533895,6.45066890289855
"54",2017,"31080","Los Angeles-Long Beach-Anaheim, CA",961,NA,13353907,13353907,7.19639578139941
"55",2017,"35620","New York-Newark-Jersey City, NY-NJ",823,NA,20320876,20320876,4.05002225297768
"56",2017,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",491,NA,6096120,6096120,8.05430339297783
"57",2017,"38300","Pittsburgh, PA",204,NA,2333367,2333367,8.74273099773846
"58",2017,"41860","San Francisco-Oakland-Fremont, CA",238,NA,4727357,4727357,5.03452563451417
"59",2017,"42660","Seattle-Tacoma-Bellevue, WA",209,NA,3867046,3867046,5.40464219975661
"60",2017,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",369,NA,6216710,6216710,5.93561546219785
"61",2018,"12580","Baltimore-Columbia-Towson, MD",222,NA,2802789,2802789,7.92068186367222
"62",2018,"14460","Boston-Cambridge-Newton, MA-NH",207,NA,4875390,4875390,4.24581418101937
"63",2018,"16980","Chicago-Naperville-Elgin, IL-IN",571,NA,9497790,9497790,6.01192487936667
"64",2018,"31080","Los Angeles-Long Beach-Anaheim, CA",939,NA,13291486,13291486,7.06467282890717
"65",2018,"35620","New York-Newark-Jersey City, NY-NJ",776,NA,19979477,19979477,3.88398555177395
"66",2018,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",489,NA,6096372,6096372,8.02116406282294
"67",2018,"38300","Pittsburgh, PA",210,NA,2324743,2324743,9.03325657932941
"68",2018,"41860","San Francisco-Oakland-Fremont, CA",235,NA,4729484,4729484,4.96882958056312
"69",2018,"42660","Seattle-Tacoma-Bellevue, WA",214,NA,3939363,3939363,5.43235035715165
"70",2018,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",372,NA,6251240,6251240,5.95081935743948
"71",2019,"12580","Baltimore-Columbia-Towson, MD",207,NA,2800053,2800053,7.3927172092814
"72",2019,"14460","Boston-Cambridge-Newton, MA-NH",186,NA,4873019,4873019,3.81693566144519
"73",2019,"16980","Chicago-Naperville-Elgin, IL-IN",571,NA,9457867,9457867,6.03730206821475
"74",2019,"31080","Los Angeles-Long Beach-Anaheim, CA",898,NA,13214799,13214799,6.7954117198453
"75",2019,"35620","New York-Newark-Jersey City, NY-NJ",779,NA,19216182,19216182,4.05387501013469
"76",2019,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",438,NA,6102434,6102434,7.17746394307583
"77",2019,"38300","Pittsburgh, PA",192,NA,2317600,2317600,8.2844321712116
"78",2019,"41860","San Francisco-Oakland-Fremont, CA",260,NA,4731803,4731803,5.49473424823476
"79",2019,"42660","Seattle-Tacoma-Bellevue, WA",213,NA,3979845,3979845,5.35196722485423
"80",2019,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",379,NA,6280697,6280697,6.03436210981042
"81",2020,"12580","Baltimore-Columbia-Towson, MD",249,2844510,NA,2844510,8.7537045044665
"82",2020,"14460","Boston-Cambridge-Newton, MA-NH",208,4941632,NA,4941632,4.20913576729307
"83",2020,"16980","Chicago-Naperville-Elgin, IL-IN",696,9618502,NA,9618502,7.23605401340042
"84",2020,"31080","Los Angeles-Long Beach-Anaheim, CA",953,13200998,NA,13200998,7.21915115811698
"85",2020,"35620","New York-Newark-Jersey City, NY-NJ",842,20140470,NA,20140470,4.18063729396583
"86",2020,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",522,6245051,NA,6245051,8.3586186886224
"87",2020,"38300","Pittsburgh, PA",194,2370930,NA,2370930,8.18244317630634
"88",2020,"41860","San Francisco-Oakland-Fremont, CA",291,4749008,NA,4749008,6.1275954894159
"89",2020,"42660","Seattle-Tacoma-Bellevue, WA",231,4018762,NA,4018762,5.74803882389651
"90",2020,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",385,6385162,NA,6385162,6.029604260628
"91",2021,"12580","Baltimore-Columbia-Towson, MD",227,NA,2838327,2838327,7.99766904940833
"92",2021,"14460","Boston-Cambridge-Newton, MA-NH",246,NA,4899932,4899932,5.02047783520261
