cbsa_code,cbsa_name,fatality_count,pop_under18,rate
31900,"Mansfield, OH",6,106729,5.621714810407668
32580,"McAllen-Edinburg-Mission, TX",28,1396820,2.004553199410089
32780,"Medford, OR",4,135610,2.9496349826708945
32820,"Memphis, TN-MS-AR",70,972104,7.20087562647618
32900,"Merced, CA",23,407888,5.6388028086141295
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",155,4660135,3.326083901002868
33140,"Michigan City-La Porte, IN",6,70584,8.500510030601836
33220,"Midland, MI",1,17899,5.586904296329404
33260,"Midland, TX",16,195220,8.195881569511322
33340,"Milwaukee-Waukesha, WI",27,1234716,2.1867376789480333
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",46,1579530,2.9122587098693917
33540,"Missoula, MT",4,66122,6.0494237923837755
33660,"Mobile, AL",19,482337,3.9391545744987426
33700,"Modesto, CA",21,739639,2.839222918207396
33740,"Monroe, LA",8,113906,7.0233350306392985
33780,"Monroe, MI",7,97398,7.187005893344832
33860,"Montgomery, AL",20,231709,8.631516255302987
34100,"Morristown, TN",1,14621,6.839477463921757
34580,"Mount Vernon-Anacortes, WA",2,55192,3.6237135816785044
34620,"Muncie, IN",3,41036,7.310654059849888
34740,"Muskegon-Norton Shores, MI",2,80041,2.4987194063042693
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",10,248836,4.018711118969924
34940,"Naples-Marco Island, FL",15,322588,4.649893982417201
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",52,508286,10.230460803563348
35380,"New Orleans-Metairie, LA",24,493865,4.859627631032772
35620,"New York-Newark-Jersey City, NY-NJ",181,7462548,2.4254450356634223
35660,"Niles, MI",5,100486,4.9758175268196565
35840,"North Port-Bradenton-Sarasota, FL",25,412717,6.057419490837547
36100,"Ocala, FL",27,344908,7.828174469713663
36220,"Odessa, TX",15,193687,7.744453680422538
36260,"Ogden, UT",19,552179,3.440913182138401
36420,"Oklahoma City, OK",24,705102,3.403762859841555
36500,"Olympia-Lacey-Tumwater, WA",5,184458,2.710644157477583
36540,"Omaha, NE-IA",31,382626,8.10190630014688
36740,"Orlando-Kissimmee-Sanford, FL",89,1524466,5.8381098692919355
36780,"Oshkosh-Neenah, WI",3,68780,4.361733061936609
37100,"Oxnard-Thousand Oaks-Ventura, CA",10,571191,1.7507278651099194
37140,"Paducah, KY-IL",6,44721,13.416515730864695
37340,"Palm Bay-Melbourne-Titusville, FL",10,552998,1.8083248040680073
37460,"Panama City-Panama City Beach, FL",11,152607,7.2080572975027355
37620,"Parkersburg-Vienna, WV",2,34893,5.731808672226521
37860,"Pensacola-Ferry Pass-Brent, FL",16,332990,4.804949097570498
37900,"Peoria, IL",11,157313,6.992429106303993
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",120,2243578,5.348599424668989
38060,"Phoenix-Mesa-Chandler, AZ",179,5510705,3.248223230965911
38240,"Pinehurst-Southern Pines, NC",4,65898,6.069986949528059
38300,"Pittsburgh, PA",35,777184,4.503438053279532
38340,"Pittsfield, MA",1,21511,4.6487843428943325
38540,"Pocatello, ID",6,66911,8.967135448580951
38860,"Portland-South Portland, ME",11,225820,4.871136303250377
38900,"Portland-Vancouver-Hillsboro, OR-WA",43,665039,6.465786217048924
38940,"Port St. Lucie, FL",19,253272,7.501816229192332
39150,"Prescott Valley-Prescott, AZ",9,186805,4.817858194373812
39300,"Providence-Warwick, RI-MA",19,695211,2.7329832237982425
39340,"Provo-Orem-Lehi, UT",26,1063104,2.4456685328998855
39380,"Pueblo, CO",9,149688,6.012506012506012
39460,"Punta Gorda, FL",6,91677,6.544716777381459
39540,"Racine-Mount Pleasant, WI",2,89697,2.2297289764429133
39580,"Raleigh-Cary, NC",46,1186630,3.876524274626463
39660,"Rapid City, SD",6,75825,7.9129574678536105
39740,"Reading, PA",11,470410,2.3383856635700773
39820,"Redding, CA",6,117042,5.126364894653202
39900,"Reno, NV",11,508853,2.1617245058985604
40060,"Richmond, VA",16,474461,3.372247666299232
40140,"Riverside-San Bernardino-Ontario, CA",190,5316815,3.573568010171503
40220,"Roanoke, VA",2,43832,4.562876437306078
40340,"Rochester, MN",2,77383,2.5845469935257097
